Year,Statistic,Name(s),Team(s),#,Date of Birth
1901,Complete Games,Joe McGinnity,Baltimore,39,03-20-1871  (Pisces)
1901,ERA,Cy Young,Boston,1.62,03-29-1867  (Aries)
1901,Games,Joe McGinnity,Baltimore,48,03-20-1871  (Pisces)
1901,Saves,Bill Hoffer,Cleveland,3,11-08-1870  (Scorpio)
1901,Shutouts,Clark Griffith,Chicago,5,11-20-1869  (Scorpio)
1901,Strikeouts,Cy Young,Boston,158,03-29-1867  (Aries)
1901,Winning Percentage,Clark Griffith,Chicago,.774,11-20-1869  (Scorpio)
1901,Wins,Cy Young,Boston,33,03-29-1867  (Aries)
1902,Complete Games,Cy Young,Boston,41,03-29-1867  (Aries)
1902,ERA,Ed Siever,Detroit,1.91,04-02-1875  (Aries)
1902,Games,Cy Young,Boston,45,03-29-1867  (Aries)
1902,Saves,Jack Powell,St. Louis,2,07-09-1874  (Cancer)
1902,Shutouts,Addie Joss,Cleveland,5,04-12-1880  (Aries)
1902,Strikeouts,Rube Waddell,Philadelphia,210,10-13-1876  (Libra)
1902,Winning Percentage,Bill Bernhard,Philadelphia,.783,03-16-1871  (Pisces)
1902,Wins,Cy Young,Boston,32,03-29-1867  (Aries)
1903,Complete Games,Bill Donovan,Detroit,34,10-13-1876  (Libra)
1903,ERA,Earl Moore,Cleveland,1.74,07-29-1877  (Leo)
1903,Games,Eddie Plank,Philadelphia,43,08-31-1875  (Virgo)
1903,Saves,Bill Dinneen,Boston,2,04-05-1876  (Aries)
1903,Shutouts,Cy Young,Boston,7,03-29-1867  (Aries)
1903,Strikeouts,Rube Waddell,Philadelphia,302,10-13-1876  (Libra)
1903,Winning Percentage,Cy Young,Boston,.757,03-29-1867  (Aries)
1903,Wins,Cy Young,Boston,28,03-29-1867  (Aries)
1904,Complete Games,Jack Chesbro,New York,48,06-05-1874  (Gemini)
1904,ERA,Addie Joss,Cleveland,1.59,04-12-1880  (Aries)
1904,Games,Jack Chesbro,New York,55,06-05-1874  (Gemini)
1904,Saves,Case Patten,Washington,3,05-07-1874  (Taurus)
1904,Shutouts,Cy Young,Boston,10,03-29-1867  (Aries)
1904,Strikeouts,Rube Waddell,Philadelphia,349,10-13-1876  (Libra)
1904,Winning Percentage,Jack Chesbro,New York,.774,06-05-1874  (Gemini)
1904,Wins,Jack Chesbro,New York,41,06-05-1874  (Gemini)
1905,Complete Games,Harry Howell,St. Louis,35,11-14-1876  (Scorpio)
1905,ERA,Rube Waddell,Philadelphia,1.48,10-13-1876  (Libra)
1905,Games,Rube Waddell,Philadelphia,46,10-13-1876  (Libra)
1905,Saves,Jim Buchanan,St. Louis,2,07-01-1876  (Cancer)
1905,Shutouts,Ed Killian,Detroit,8,11-12-1876  (Scorpio)
1905,Strikeouts,Rube Waddell,Philadelphia,287,10-13-1876  (Libra)
1905,Winning Percentage,Rube Waddell,Philadelphia,.730,10-13-1876  (Libra)
1905,Wins,Rube Waddell,Philadelphia,27,10-13-1876  (Libra)
1906,Complete Games,Al Orth,New York,36,09-05-1872  (Virgo)
1906,ERA,Doc White,Chicago,1.52,04-09-1879  (Aries)
1906,Games,Jack Chesbro,New York,49,06-05-1874  (Gemini)
1906,Saves,Chief Bender,Philadelphia,3,05-05-1884  (Taurus)
1906,Shutouts,Ed Walsh,Chicago,10,05-19-1881  (Taurus)
1906,Strikeouts,Rube Waddell,Philadelphia,196,10-13-1876  (Libra)
1906,Winning Percentage,Eddie Plank,Philadelphia,.760,08-31-1875  (Virgo)
1906,Wins,Al Orth,New York,27,09-05-1872  (Virgo)
1907,Complete Games,Ed Walsh,Chicago,37,05-19-1881  (Taurus)
1907,ERA,Ed Walsh,Chicago,1.60,05-19-1881  (Taurus)
1907,Games,Ed Walsh,Chicago,56,05-19-1881  (Taurus)
1907,Saves,Bill Dinneen,Philadelphia,4,04-05-1876  (Aries)
1907,Shutouts,Eddie Plank,Philadelphia,8,08-31-1875  (Virgo)
1907,Strikeouts,Rube Waddell,Philadelphia,232,10-13-1876  (Libra)
1907,Winning Percentage,Bill Donovan,Detroit,.862,10-13-1876  (Libra)
1907,Wins,Addie Joss,Cleveland,27,04-12-1880  (Aries)
1908,Complete Games,Ed Walsh,Chicago,42,05-19-1881  (Taurus)
1908,ERA,Addie Joss,Cleveland,1.16,04-12-1880  (Aries)
1908,Games,Ed Walsh,Chicago,66,05-19-1881  (Taurus)
1908,Saves,Ed Walsh,Chicago,6,05-19-1881  (Taurus)
1908,Shutouts,Ed Walsh,Chicago,11,05-19-1881  (Taurus)
1908,Strikeouts,Ed Walsh,Chicago,269,05-19-1881  (Taurus)
1908,Winning Percentage,Ed Walsh,Chicago,.727,05-19-1881  (Taurus)
1908,Wins,Ed Walsh,Chicago,40,05-19-1881  (Taurus)
1909,Complete Games,Frank Smith,Chicago,37,10-28-1879  (Scorpio)
1909,ERA,Harry Krause,Philadelphia,1.39,07-12-1888  (Cancer)
1909,Games,Frank Smith,Chicago,51,10-28-1879  (Scorpio)
1909,Saves,Frank Arellanes,Boston,8,01-28-1882  (Aquarius)
1909,Shutouts,Ed Walsh,Chicago,8,05-19-1881  (Taurus)
1909,Strikeouts,Frank Smith,Chicago,177,10-28-1879  (Scorpio)
1909,Winning Percentage,George Mullin,Detroit,.784,07-04-1880  (Cancer)
1909,Wins,George Mullin,Detroit,29,07-04-1880  (Cancer)
1910,Complete Games,Walter Johnson,Washington,38,11-06-1887  (Scorpio)
1910,ERA,Ed Walsh,Chicago,1.27,05-19-1881  (Taurus)
1910,Games,Ed Walsh,Chicago,45,05-19-1881  (Taurus)
1910,Saves,Ed Walsh,Chicago,5,05-19-1881  (Taurus)
1910,Shutouts,Jack Coombs,Philadelphia,13,11-18-1882  (Scorpio)
1910,Strikeouts,Walter Johnson,Washington,313,11-06-1887  (Scorpio)
1910,Winning Percentage,Chief Bender,Philadelphia,.821,05-05-1884  (Taurus)
1910,Wins,Jack Coombs,Philadelphia,31,11-18-1882  (Scorpio)
1911,Complete Games,Walter Johnson,Washington,36,11-06-1887  (Scorpio)
1911,ERA,Vean Gregg,Cleveland,1.80,04-13-1885  (Aries)
1911,Games,Ed Walsh,Chicago,56,05-19-1881  (Taurus)
1911,Saves,Charley Hall,Boston,4,07-27-1884  (Leo)
1911,Shutouts,Eddie Plank,Philadelphia,6,08-31-1875  (Virgo)
1911,Strikeouts,Ed Walsh,Chicago,255,05-19-1881  (Taurus)
1911,Winning Percentage,Chief Bender,Philadelphia,.773,05-05-1884  (Taurus)
1911,Wins,Jack Coombs,Philadelphia,28,11-18-1882  (Scorpio)
1912,Complete Games,Smoky Joe Wood,Boston,35,10-25-1889  (Scorpio)
1912,ERA,Walter Johnson,Washington,1.39,11-06-1887  (Scorpio)
1912,Games,Ed Walsh,Chicago,62,05-19-1881  (Taurus)
1912,Saves,Ed Walsh,Chicago,10,05-19-1881  (Taurus)
1912,Shutouts,Smoky Joe Wood,Boston,10,10-25-1889  (Scorpio)
1912,Strikeouts,Walter Johnson,Washington,303,11-06-1887  (Scorpio)
1912,Winning Percentage,Smoky Joe Wood,Boston,.872,10-25-1889  (Scorpio)
1912,Wins,Smoky Joe Wood,Boston,34,10-25-1889  (Scorpio)
1913,Complete Games,Walter Johnson,Washington,29,11-06-1887  (Scorpio)
1913,ERA,Walter Johnson,Washington,1.14,11-06-1887  (Scorpio)
1913,Games,Reb Russell,Chicago,52,03-12-1889  (Pisces)
1913,Saves,Chief Bender,Philadelphia,13,05-05-1884  (Taurus)
1913,Shutouts,Walter Johnson,Washington,11,11-06-1887  (Scorpio)
1913,Strikeouts,Walter Johnson,Washington,243,11-06-1887  (Scorpio)
