Year,Statistic,Name(s),Team(s),#,Date of Birth
1901,Base on Balls,Dummy Hoy,Chicago,86,05-23-1862  (Gemini)
1901,Batting Average,Nap Lajoie,Philadelphia,.426,09-05-1874  (Virgo)
1901,Doubles,Nap Lajoie,Philadelphia,48,09-05-1874  (Virgo)
1901,Hits,Nap Lajoie,Philadelphia,232,09-05-1874  (Virgo)
1901,Home Runs,Nap Lajoie,Philadelphia,14,09-05-1874  (Virgo)
1901,On Base Percentage,Nap Lajoie,Philadelphia,.463,09-05-1874  (Virgo)
1901,RBI,Nap Lajoie,Philadelphia,125,09-05-1874  (Virgo)
1901,Runs,Nap Lajoie,Philadelphia,145,09-05-1874  (Virgo)
1901,Slugging Average,Nap Lajoie,Philadelphia,.643,09-05-1874  (Virgo)
1901,Stolen Bases,Frank Isbell,Chicago,52,08-21-1875  (Leo)
1901,Total Bases,Nap Lajoie,Philadelphia,350,09-05-1874  (Virgo)
1901,Triples,Bill Keister,Baltimore,21,08-17-1871  (Leo)
1902,Base on Balls,Topsy Hartsel,Philadelphia,87,06-26-1874  (Cancer)
1902,Batting Average,Ed Delahanty,Washington,.376,10-30-1867  (Scorpio)
1902,Doubles,Harry Davis,Philadelphia,43,07-19-1873  (Cancer)
1902,Hits,Charlie Hickman,Boston,193,03-04-1876  (Pisces)
1902,Home Runs,Socks Seybold,Philadelphia,16,11-23-1870  (Sagittarius)
1902,On Base Percentage,Ed Delahanty,Washington,.453,10-30-1867  (Scorpio)
1902,RBI,Buck Freeman,Boston,121,10-30-1871  (Scorpio)
1902,Runs,Dave Fultz,Philadelphia,109,05-29-1875  (Gemini)
1902,Slugging Average,Ed Delahanty,Washington,.590,10-30-1867  (Scorpio)
1902,Stolen Bases,Topsy Hartsel,Philadelphia,47,06-26-1874  (Cancer)
1902,Total Bases,Charlie Hickman,Boston,288,03-04-1876  (Pisces)
1902,Triples,Jimmy Williams,Baltimore,21,12-20-1876  (Sagittarius)
1903,Base on Balls,Jimmy Barrett,Detroit,74,03-28-1875  (Aries)
1903,Batting Average,Nap Lajoie,Cleveland,.344,09-05-1874  (Virgo)
1903,Doubles,Socks Seybold,Philadelphia,45,11-23-1870  (Sagittarius)
1903,Hits,Patsy Dougherty,Boston,195,10-27-1876  (Scorpio)
1903,Home Runs,Buck Freeman,Boston,13,10-30-1871  (Scorpio)
1903,On Base Percentage,Jimmy Barrett,Detroit,.407,03-28-1875  (Aries)
1903,RBI,Buck Freeman,Boston,104,10-30-1871  (Scorpio)
1903,Runs,Patsy Dougherty,Boston,107,10-27-1876  (Scorpio)
1903,Slugging Average,Nap Lajoie,Cleveland,.518,09-05-1874  (Virgo)
1903,Stolen Bases,Harry Bay,Cleveland,45,01-17-1878  (Capricorn)
1903,Total Bases,Buck Freeman,Boston,281,10-30-1871  (Scorpio)
1903,Triples,Sam Crawford,Detroit,25,04-18-1880  (Aries)
1904,Base on Balls,Jimmy Barrett,Detroit,79,03-28-1875  (Aries)
1904,Batting Average,Nap Lajoie,Cleveland,.376,09-05-1874  (Virgo)
1904,Doubles,Nap Lajoie,Cleveland,49,09-05-1874  (Virgo)
1904,Hits,Nap Lajoie,Cleveland,211,09-05-1874  (Virgo)
1904,Home Runs,Harry Davis,Philadelphia,10,07-19-1873  (Cancer)
1904,On Base Percentage,Nap Lajoie,Cleveland,.413,09-05-1874  (Virgo)
1904,RBI,Nap Lajoie,Cleveland,102,09-05-1874  (Virgo)
1904,Runs,Patsy Dougherty,Boston,113,10-27-1876  (Scorpio)
1904,Slugging Average,Nap Lajoie,Cleveland,.552,09-05-1874  (Virgo)
1904,Stolen Bases,Harry Bay,Cleveland,38,01-17-1878  (Capricorn)
1904,Total Bases,Nap Lajoie,Cleveland,305,09-05-1874  (Virgo)
1904,Triples,Joe Cassidy,Washington,19,02-08-1883  (Aquarius)
1905,Base on Balls,Topsy Hartsel,Philadelphia,121,06-26-1874  (Cancer)
1905,Batting Average,Elmer Flick,Cleveland,.308,01-11-1876  (Capricorn)
1905,Doubles,Harry Davis,Philadelphia,47,07-19-1873  (Cancer)
1905,Hits,George Stone,St. Louis,187,09-03-1876  (Virgo)
1905,Home Runs,Harry Davis,Philadelphia,8,07-19-1873  (Cancer)
1905,On Base Percentage,Topsy Hartsel,Philadelphia,.409,06-26-1874  (Cancer)
1905,RBI,Harry Davis,Philadelphia,83,07-19-1873  (Cancer)
1905,Runs,Harry Davis,Philadelphia,93,07-19-1873  (Cancer)
1905,Slugging Average,Elmer Flick,Cleveland,.462,01-11-1876  (Capricorn)
1905,Stolen Bases,Danny Hoffman,Philadelphia,46,03-02-1880  (Pisces)
1905,Total Bases,George Stone,St. Louis,259,09-03-1876  (Virgo)
1905,Triples,Elmer Flick,Cleveland,18,01-11-1876  (Capricorn)
1906,Base on Balls,Topsy Hartsel,Philadelphia,88,06-26-1874  (Cancer)
1906,Batting Average,George Stone,St. Louis,.358,09-03-1876  (Virgo)
1906,Doubles,Nap Lajoie,Cleveland,48,09-05-1874  (Virgo)
1906,Hits,Nap Lajoie,Cleveland,214,09-05-1874  (Virgo)
1906,Home Runs,Harry Davis,Philadelphia,12,07-19-1873  (Cancer)
1906,On Base Percentage,George Stone,St. Louis,.417,09-03-1876  (Virgo)
1906,RBI,Harry Davis,Philadelphia,96,07-19-1873  (Cancer)
1906,Runs,Elmer Flick,Cleveland,98,01-11-1876  (Capricorn)
1906,Slugging Average,George Stone,St. Louis,.501,09-03-1876  (Virgo)
1906,Stolen Bases,John Anderson,Washington,39,12-14-1873  (Sagittarius)
1906,Total Bases,George Stone,St. Louis,291,09-03-1876  (Virgo)
1906,Triples,Elmer Flick,Cleveland,22,01-11-1876  (Capricorn)
1907,Base on Balls,Topsy Hartsel,Philadelphia,106,06-26-1874  (Cancer)
1907,Batting Average,Ty Cobb,Detroit,.350,12-18-1886  (Sagittarius)
1907,Doubles,Harry Davis,Philadelphia,35,07-19-1873  (Cancer)
1907,Hits,Ty Cobb,Detroit,212,12-18-1886  (Sagittarius)
1907,Home Runs,Harry Davis,Philadelphia,8,07-19-1873  (Cancer)
1907,On Base Percentage,Topsy Hartsel,Philadelphia,.405,06-26-1874  (Cancer)
1907,RBI,Ty Cobb,Detroit,119,12-18-1886  (Sagittarius)
1907,Runs,Sam Crawford,Detroit,102,04-18-1880  (Aries)
1907,Slugging Average,Ty Cobb,Detroit,.468,12-18-1886  (Sagittarius)
1907,Stolen Bases,Ty Cobb,Detroit,49,12-18-1886  (Sagittarius)
1907,Total Bases,Ty Cobb,Detroit,283,12-18-1886  (Sagittarius)
1907,Triples,Elmer Flick,Cleveland,18,01-11-1876  (Capricorn)
1908,Base on Balls,Topsy Hartsel,Philadelphia,93,06-26-1874  (Cancer)
1908,Batting Average,Ty Cobb,Detroit,.324,12-18-1886  (Sagittarius)
1908,Doubles,Ty Cobb,Detroit,36,12-18-1886  (Sagittarius)
1908,Hits,Ty Cobb,Detroit,188,12-18-1886  (Sagittarius)
1908,Home Runs,Sam Crawford,Detroit,7,04-18-1880  (Aries)
1908,On Base Percentage,Doc Gessler,Boston,.394,12-23-1880  (Capricorn)
1908,RBI,Ty Cobb,Detroit,108,12-18-1886  (Sagittarius)
1908,Runs,Matty McIntyre,Detroit,105,06-12-1880  (Gemini)
1908,Slugging Average,Ty Cobb,Detroit,.476,12-18-1886  (Sagittarius)
1908,Stolen Bases,Patsy Dougherty,Chicago,47,10-27-1876  (Scorpio)
1908,Total Bases,Ty Cobb,Detroit,276,12-18-1886  (Sagittarius)
1908,Triples,Ty Cobb,Detroit,20,12-18-1886  (Sagittarius)
1909,Base on Balls,Donie Bush,Detroit,88,10-08-1887  (Libra)
1909,Batting Average,Ty Cobb,Detroit,.377,12-18-1886  (Sagittarius)
1909,Doubles,Sam Crawford,Detroit,35,04-18-1880  (Aries)
1909,Hits,Ty Cobb,Detroit,216,12-18-1886  (Sagittarius)
1909,Home Runs,Ty Cobb,Detroit,9,12-18-1886  (Sagittarius)
1909,On Base Percentage,Ty Cobb,Detroit,.431,12-18-1886  (Sagittarius)
1909,RBI,Ty Cobb,Detroit,107,12-18-1886  (Sagittarius)
1909,Runs,Ty Cobb,Detroit,116,12-18-1886  (Sagittarius)
1909,Slugging Average,Ty Cobb,Detroit,.517,12-18-1886  (Sagittarius)
1909,Stolen Bases,Ty Cobb,Detroit,76,12-18-1886  (Sagittarius)
1909,Total Bases,Ty Cobb,Detroit,296,12-18-1886  (Sagittarius)
1909,Triples,Frank Baker,Philadelphia,19,03-13-1886  (Pisces)
1910,Base on Balls,Donie Bush,Detroit,78,10-08-1887  (Libra)
1910,Batting Average *,Nap Lajoie,Detroit,.384,09-05-1874  (Virgo)
1910,Doubles,Nap Lajoie,Cleveland,51,09-05-1874  (Virgo)
1910,Hits,Nap Lajoie,Cleveland,227,09-05-1874  (Virgo)
1910,Home Runs,Jake Stahl,Boston,10,04-13-1879  (Aries)
1910,On Base Percentage,Ty Cobb,Detroit,.455,12-18-1886  (Sagittarius)
1910,RBI,Sam Crawford,Detroit,120,04-18-1880  (Aries)
1910,Runs,Ty Cobb,Detroit,106,12-18-1886  (Sagittarius)
1910,Slugging Average,Ty Cobb,Detroit,.549,12-18-1886  (Sagittarius)
1910,Stolen Bases,Eddie Collins,Philadelphia,81,05-02-1887  (Taurus)
1910,Total Bases,Nap Lajoie,Cleveland,304,09-05-1874  (Virgo)
1910,Triples,Sam Crawford,Detroit,19,04-18-1880  (Aries)
1911,Base on Balls,Donie Bush,Detroit,98,10-08-1887  (Libra)
1911,Batting Average,Ty Cobb,Detroit,.419,12-18-1886  (Sagittarius)
1911,Doubles,Ty Cobb,Detroit,47,12-18-1886  (Sagittarius)
1911,Hits,Ty Cobb,Detroit,248,12-18-1886  (Sagittarius)
1911,Home Runs,Frank Baker,Philadelphia,11,03-13-1886  (Pisces)
1911,On Base Percentage,Joe Jackson,Cleveland,.468,07-16-1887  (Cancer)
1911,RBI,Ty Cobb,Detroit,127,12-18-1886  (Sagittarius)
1911,Runs,Ty Cobb,Detroit,147,12-18-1886  (Sagittarius)
1911,Slugging Average,Ty Cobb,Detroit,.620,12-18-1886  (Sagittarius)
1911,Stolen Bases,Ty Cobb,Detroit,83,12-18-1886  (Sagittarius)
1911,Total Bases,Ty Cobb,Detroit,367,12-18-1886  (Sagittarius)
1911,Triples,Ty Cobb,Detroit,24,12-18-1886  (Sagittarius)
1912,Base on Balls,Donie Bush,Detroit,117,10-08-1887  (Libra)
1912,Batting Average,Ty Cobb,Detroit,.409,12-18-1886  (Sagittarius)
1912,Doubles,Tris Speaker,Boston,53,04-04-1888  (Aries)
1912,Hits,Ty Cobb,Detroit,226,12-18-1886  (Sagittarius)
1912,Home Runs,Frank Baker,Philadelphia,10,03-13-1886  (Pisces)
1912,On Base Percentage,Tris Speaker,Boston,.464,04-04-1888  (Aries)
1912,RBI,Frank Baker,Philadelphia,130,03-13-1886  (Pisces)
1912,Runs,Eddie Collins,Philadelphia,137,05-02-1887  (Taurus)
1912,Slugging Average,Ty Cobb,Detroit,.584,12-18-1886  (Sagittarius)
1912,Stolen Bases,Clyde Milan,Washington,88,03-25-1887  (Aries)
1912,Total Bases,Joe Jackson,Cleveland,331,07-16-1887  (Cancer)
1912,Triples,Joe Jackson,Cleveland,26,07-16-1887  (Cancer)
1913,Base on Balls,Burt Shotton,St. Louis,99,10-18-1884  (Libra)
1913,Batting Average,Ty Cobb,Detroit,.389,12-18-1886  (Sagittarius)
1913,Doubles,Joe Jackson,Cleveland,39,07-16-1887  (Cancer)
1913,Hits,Joe Jackson,Cleveland,197,07-16-1887  (Cancer)
1913,Home Runs,Frank Baker,Philadelphia,12,03-13-1886  (Pisces)
1913,On Base Percentage,Ty Cobb,Detroit,.466,12-18-1886  (Sagittarius)
1913,RBI,Frank Baker,Philadelphia,117,03-13-1886  (Pisces)
1913,Runs,Eddie Collins,Philadelphia,125,05-02-1887  (Taurus)
1913,Slugging Average,Joe Jackson,Cleveland,.551,07-16-1887  (Cancer)
1913,Stolen Bases,Clyde Milan,Washington,75,03-25-1887  (Aries)
1913,Total Bases,Sam Crawford,Detroit,298,04-18-1880  (Aries)
1913,Triples,Sam Crawford,Detroit,23,04-18-1880  (Aries)
1914,Base on Balls,Donie Bush,Detroit,112,10-08-1887  (Libra)
1914,Batting Average,Ty Cobb *,Detroit,.368,12-18-1886  (Sagittarius)
1914,Doubles,Tris Speaker,Boston,46,04-04-1888  (Aries)
1914,Hits,Tris Speaker,Boston,193,04-04-1888  (Aries)
1914,Home Runs,Frank Baker,Philadelphia,9,03-13-1886  (Pisces)
1914,On Base Percentage,Eddie Collins,Philadelphia,.452,05-02-1887  (Taurus)
1914,RBI,Sam Crawford,Detroit,104,04-18-1880  (Aries)
1914,Runs,Eddie Collins,Philadelphia,122,05-02-1887  (Taurus)
1914,Slugging Average,Tris Speaker,Boston,.503,04-04-1888  (Aries)
1914,Stolen Bases,Fritz Maisel,New York,74,12-23-1889  (Capricorn)
1914,Total Bases,Tris Speaker,Boston,287,04-04-1888  (Aries)
1914,Triples,Sam Crawford,Detroit,26,04-18-1880  (Aries)
1915,Base on Balls,Eddie Collins,Chicago,119,05-02-1887  (Taurus)
1915,Batting Average,Ty Cobb,Detroit,.369,12-18-1886  (Sagittarius)
1915,Doubles,Bobby Veach,Detroit,40,06-29-1888  (Cancer)
1915,Hits,Ty Cobb,Detroit,208,12-18-1886  (Sagittarius)
1915,Home Runs,Braggo Roth,Chicago,7,08-28-1892  (Virgo)
1915,On Base Percentage,Ty Cobb,Detroit,.486,12-18-1886  (Sagittarius)
1915,RBI,Sam Crawford,Detroit,112,04-18-1880  (Aries)
1915,Runs,Ty Cobb,Detroit,144,12-18-1886  (Sagittarius)
1915,Slugging Average,Jack Fournier,Chicago,.491,09-28-1892  (Libra)
1915,Stolen Bases,Ty Cobb,Detroit,96,12-18-1886  (Sagittarius)
1915,Total Bases,Ty Cobb,Detroit,274,12-18-1886  (Sagittarius)
1915,Triples,Sam Crawford,Detroit,19,04-18-1880  (Aries)
1916,Base on Balls,Burt Shotton,St. Louis,110,10-18-1884  (Libra)
1916,Batting Average,Tris Speaker,Cleveland,.386,04-04-1888  (Aries)
1916,Doubles,Jack Graney,Cleveland,41,06-10-1886  (Gemini)
1916,Hits,Tris Speaker,Cleveland,211,04-04-1888  (Aries)
